ds,y
2021-11-25,7
2021-11-26,11
2021-11-27,11
2021-11-28,11
2021-11-29,11
2021-11-30,11
2021-12-01,11
2021-12-02,11
2021-12-03,11
2021-12-04,11
2021-12-05,11
2021-12-06,11
2021-12-07,11
2021-12-08,11
2021-12-09,11
2021-12-10,11
2021-12-11,11
2021-12-12,11
2021-12-13,11
2021-12-14,11
2021-12-15,11
2021-12-16,11
2021-12-17,11
2021-12-18,11
2021-12-19,11
2021-12-20,11
2021-12-21,11
2021-12-22,11
2021-12-23,11
2021-12-24,11
2021-12-25,11
2021-12-26,11
2021-12-27,11
2021-12-28,11
2021-12-29,11
2021-12-30,11
2021-12-31,11
2022-01-01,11
2022-01-02,11
2022-01-03,11
2022-01-04,11
2022-01-05,11
2022-01-06,11
2022-01-07,11
2022-01-08,11
2022-01-09,11
2022-01-10,11
2022-01-11,11
2022-01-12,11
2022-01-13,11
2022-01-14,11
2022-01-15,11
2022-01-16,11
2022-01-17,11
2022-01-18,11
2022-01-19,13
2022-01-20,17
2022-01-21,20
2022-01-22,22
2022-01-23,22
2022-01-24,22
2022-01-25,26
2022-01-26,29
2022-01-27,34
2022-01-28,40
2022-01-29,43
2022-01-30,43
2022-01-31,47
2022-02-01,55
2022-02-02,61
2022-02-03,72
2022-02-04,80
2022-02-05,88
2022-02-06,97
2022-02-07,103
2022-02-08,107
2022-02-09,111
2022-02-10,117
2022-02-11,123
2022-02-12,126
2022-02-13,126
2022-02-14,131
2022-02-15,140
2022-02-16,151
2022-02-17,157
2022-02-18,158
2022-02-19,166
2022-02-20,174
2022-02-21,175
2022-02-22,175
2022-02-23,180
2022-02-24,184
2022-02-25,188
2022-02-26,198
2022-02-27,198
2022-02-28,198
2022-03-01,195
2022-03-02,185
2022-03-03,185
2022-03-04,185
2022-03-05,187
2022-03-06,190
2022-03-07,196
2022-03-08,201
2022-03-09,201
2022-03-10,201
2022-03-11,201
2022-03-12,201
2022-03-13,196
2022-03-14,200
2022-03-15,204
2022-03-16,223
2022-03-17,231
2022-03-18,231
2022-03-19,231
2022-03-20,231
2022-03-21,231
2022-03-22,210
2022-03-23,127
2022-03-24,127
2022-03-25,127
2022-03-26,127
2022-03-27,127
2022-03-28,128
2022-03-29,130
2022-03-30,134
2022-03-31,139
2022-04-01,142
2022-04-02,142
2022-04-03,142
2022-04-04,145
2022-04-05,147
2022-04-06,137
2022-04-07,143
2022-04-08,143
2022-04-09,151
2022-04-10,97
2022-04-11,107
2022-04-12,127
2022-04-13,141
2022-04-14,141
2022-04-15,141
2022-04-16,141
2022-04-17,141
2022-04-18,141
2022-04-19,141
2022-04-20,141
2022-04-21,141
2022-04-22,141
2022-04-23,141
2022-04-24,141
2022-04-25,141
2022-04-26,143
2022-04-27,151
2022-04-28,159
2022-04-29,169
2022-04-30,169
2022-05-01,177
2022-05-02,181
2022-05-03,183
2022-05-04,201
2022-05-05,207
2022-05-06,207
2022-05-07,207
2022-05-08,207
2022-05-09,211
2022-05-10,211
2022-05-11,221
2022-05-12,233
2022-05-13,239
2022-05-14,247
2022-05-15,265
2022-05-16,265
2022-05-17,265
2022-05-18,265
2022-05-19,265
2022-05-20,265
2022-05-21,265
2022-05-22,265
2022-05-23,283
2022-05-24,283
2022-05-25,283
2022-05-26,283
2022-05-27,283
2022-05-28,283
2022-05-29,283
2022-05-30,283
2022-05-31,283
2022-06-01,283
2022-06-02,283
2022-06-03,283
2022-06-04,283
2022-06-05,283
2022-06-06,283
2022-06-07,293
2022-06-08,301
2022-06-09,305
2022-06-10,305
2022-06-11,305
2022-06-12,272
2022-06-13,284
2022-06-14,296
2022-06-15,305
2022-06-16,307
2022-06-17,307
2022-06-18,307
2022-06-19,307
2022-06-20,311
2022-06-21,323
2022-06-22,334
2022-06-23,335
2022-06-24,338
2022-06-25,338
2022-06-26,338
2022-06-27,344
2022-06-28,349
2022-06-29,357
2022-06-30,359
2022-07-01,359
2022-07-02,359
2022-07-03,359
2022-07-04,359
2022-07-05,218
2022-07-06,218
2022-07-07,221
2022-07-08,227
2022-07-09,232
2022-07-10,174
2022-07-11,184
2022-07-12,193
2022-07-13,214
2022-07-14,221
2022-07-15,239
2022-07-16,253
2022-07-17,264
2022-07-18,271
2022-07-19,275
2022-07-20,279
2022-07-21,279
2022-07-22,285
2022-07-23,290
2022-07-24,290
2022-07-25,297
2022-07-26,304
2022-07-27,312
2022-07-28,314
2022-07-29,314
2022-07-30,314
2022-07-31,314
2022-08-01,314
2022-08-02,314
2022-08-03,315
2022-08-04,307
2022-08-05,275
2022-08-06,209
2022-08-07,209
2022-08-08,209
2022-08-09,212
2022-08-10,215
2022-08-11,219
2022-08-12,219
2022-08-13,217
2022-08-14,223
2022-08-15,223
2022-08-16,224
2022-08-17,224
2022-08-18,224
2022-08-19,230
2022-08-20,236
2022-08-21,236
2022-08-22,238
2022-08-23,245
2022-08-24,257
2022-08-25,264
2022-08-26,267
2022-08-27,268
2022-08-28,268
2022-08-29,270
2022-08-30,270
2022-08-31,252
2022-09-01,252
2022-09-02,255
2022-09-03,255
2022-09-04,256
2022-09-05,257
2022-09-06,191
2022-09-07,199
2022-09-08,176
2022-09-09,183
2022-09-10,187
2022-09-11,187
2022-09-12,193
2022-09-13,197
2022-09-14,205
2022-09-15,221
2022-09-16,234
2022-09-17,242
2022-09-18,242
2022-09-19,242
2022-09-20,245
2022-09-21,252
2022-09-22,213
2022-09-23,218
2022-09-24,227
2022-09-25,227
2022-09-26,229
2022-09-27,231
2022-09-28,239
2022-09-29,239
2022-09-30,240
2022-10-01,240
2022-10-02,240
2022-10-03,240
2022-10-04,243
2022-10-05,243
2022-10-06,243
2022-10-07,254
2022-10-08,228
2022-10-09,232
2022-10-10,244
2022-10-11,256
2022-10-12,269
2022-10-13,279
2022-10-14,285
2022-10-15,286
2022-10-16,286
2022-10-17,289
2022-10-18,294
2022-10-19,299
2022-10-20,308
2022-10-21,309
2022-10-22,309
2022-10-23,309
2022-10-24,309
2022-10-25,309
2022-10-26,312
2022-10-27,297
2022-10-28,299
2022-10-29,275
2022-10-30,275
2022-10-31,275
2022-11-01,275
2022-11-02,277
2022-11-03,288
2022-11-04,288
2022-11-05,295
2022-11-06,271
2022-11-07,278
2022-11-08,278
2022-11-09,278
2022-11-10,281
2022-11-11,293
2022-11-12,299
2022-11-13,299
2022-11-14,309
2022-11-15,327
2022-11-16,337
2022-11-17,341
2022-11-18,344
2022-11-19,344
2022-11-20,344
2022-11-21,346
2022-11-22,352
2022-11-23,354
2022-11-24,354
2022-11-25,354
2022-11-26,354
2022-11-27,300
2022-11-28,300
2022-11-29,300
2022-11-30,304
2022-12-01,312
2022-12-02,318
2022-12-03,323
2022-12-04,323
2022-12-05,328
2022-12-06,335
2022-12-07,302
2022-12-08,316
2022-12-09,330
2022-12-10,342
2022-12-11,347
2022-12-12,367
2022-12-13,399
2022-12-14,432
2022-12-15,434
2022-12-16,400
2022-12-17,400
2022-12-18,400
2022-12-19,404
2022-12-20,404
2022-12-21,409
2022-12-22,409
2022-12-23,409
2022-12-24,409
2022-12-25,409
2022-12-26,409
2022-12-27,409
2022-12-28,409
2022-12-29,409
2022-12-30,389
2022-12-31,389
2023-01-01,389
2023-01-02,389
2023-01-03,389
2023-01-04,371
2023-01-05,371
2023-01-06,371
2023-01-07,361
2023-01-08,371
2023-01-09,385
2023-01-10,402
2023-01-11,433
2023-01-12,457
2023-01-13,465
2023-01-14,472
2023-01-15,472
2023-01-16,475
2023-01-17,504
2023-01-18,531
2023-01-19,553
2023-01-20,456
2023-01-21,456
2023-01-22,456
2023-01-23,474
2023-01-24,514
2023-01-25,532
2023-01-26,560
2023-01-27,575
2023-01-28,581
2023-01-29,581
2023-01-30,598
2023-01-31,609
2023-02-01,621
2023-02-02,637
2023-02-03,635
2023-02-04,641
2023-02-05,643
2023-02-06,658
2023-02-07,677
2023-02-08,657
2023-02-09,673
2023-02-10,684
2023-02-11,698
2023-02-12,700
2023-02-13,718
2023-02-14,741
2023-02-15,761
2023-02-16,761
2023-02-17,761
2023-02-18,761
2023-02-19,761
2023-02-20,693
2023-02-21,713
2023-02-22,729
2023-02-23,745
2023-02-24,759
2023-02-25,759
2023-02-26,765
2023-02-27,765
2023-02-28,764
2023-03-01,784
2023-03-02,703
2023-03-03,729
2023-03-04,741
2023-03-05,746
2023-03-06,761
2023-03-07,783
2023-03-08,780
2023-03-09,768
2023-03-10,742
2023-03-11,755
2023-03-12,755
2023-03-13,761
2023-03-14,778
2023-03-15,778
2023-03-16,802
2023-03-17,834
2023-03-18,846
2023-03-19,846
2023-03-20,854
2023-03-21,802
2023-03-22,817
2023-03-23,823
2023-03-24,867
2023-03-25,879
2023-03-26,882
2023-03-27,856
2023-03-28,877
2023-03-29,913
2023-03-30,908
2023-03-31,911
2023-04-01,911
2023-04-02,920
2023-04-03,957
2023-04-04,987
2023-04-05,1013
2023-04-06,958
2023-04-07,964
2023-04-08,940
2023-04-09,940
2023-04-10,974
2023-04-11,947
2023-04-12,1011
2023-04-13,963
2023-04-14,963
2023-04-15,979
2023-04-16,979
2023-04-17,995
2023-04-18,930
2023-04-19,930
2023-04-20,938
2023-04-21,940
2023-04-22,844
2023-04-23,844
2023-04-24,853
2023-04-25,853
2023-04-26,854
2023-04-27,858
2023-04-28,862
2023-04-29,862
2023-04-30,862
2023-05-01,862
2023-05-02,869
2023-05-03,871
2023-05-04,811
2023-05-05,815
2023-05-06,804
2023-05-07,804
2023-05-08,805
2023-05-09,808
2023-05-10,808
2023-05-11,808
2023-05-12,808
2023-05-13,751
2023-05-14,751
2023-05-15,751
2023-05-16,751
2023-05-17,758
2023-05-18,762
2023-05-19,478
2023-05-20,483
2023-05-21,483
2023-05-22,486
2023-05-23,486
2023-05-24,486
2023-05-25,486
2023-05-26,454
2023-05-27,451
2023-05-28,459
2023-05-29,470
2023-05-30,479
2023-05-31,492
2023-06-01,499
2023-06-02,505
2023-06-03,513
2023-06-04,513
2023-06-05,522
2023-06-06,531
2023-06-07,545
2023-06-08,516
2023-06-09,516
2023-06-10,516
2023-06-11,516
2023-06-12,534
2023-06-13,556
2023-06-14,575
2023-06-15,587
2023-06-16,593
2023-06-17,593
2023-06-18,593
2023-06-19,593
2023-06-20,597
2023-06-21,591
